Mod:Item:MetaData, Localized Name
Thaumcraft:blockMetalDevice:1, 奥术蒸馏器
Thaumcraft:blockMetalDevice:5, 物品格栅
Thaumcraft:blockMetalDevice:7, 奥术灯
Thaumcraft:blockMetalDevice:8, 催生灯
Thaumcraft:blockMetalDevice:13, 育种灯
Thaumcraft:blockMetalDevice:9, 炼金构材
Thaumcraft:blockMetalDevice:3, 高级炼金构材
Thaumcraft:blockMetalDevice:12, 记忆矩阵
Thaumcraft:blockMetalDevice:14, 魔力中继器
Thaumcraft:blockMetalDevice:2, 魔力充能中继器
Thaumcraft:blockWoodenDevice:0, 奥术风箱
Thaumcraft:blockWoodenDevice:1, 奥术之耳
Thaumcraft:blockWoodenDevice:2, 奥术压力盘
Thaumcraft:blockWoodenDevice:4, 奥术钻探机基座
Thaumcraft:blockWoodenDevice:5, 奥术钻探机
Thaumcraft:blockWoodenDevice:6, 宏伟之树木板
Thaumcraft:blockWoodenDevice:7, 银树木板
Thaumcraft:blockWoodenDevice:8, 血腥教徒旗帜
Thaumcraft:blockWoodenDevice:8, 白色旗帜
Thaumcraft:blockWoodenDevice:8, 橙色旗帜
Thaumcraft:blockWoodenDevice:8, 品红色旗帜
Thaumcraft:blockWoodenDevice:8, 浅蓝色旗帜
Thaumcraft:blockWoodenDevice:8, 黄色旗帜
Thaumcraft:blockWoodenDevice:8, 柠檬色旗帜
Thaumcraft:blockWoodenDevice:8, 粉色旗帜
Thaumcraft:blockWoodenDevice:8, 灰色旗帜
Thaumcraft:blockWoodenDevice:8, 浅灰色旗帜
Thaumcraft:blockWoodenDevice:8, 青色旗帜
Thaumcraft:blockWoodenDevice:8, 紫色旗帜
Thaumcraft:blockWoodenDevice:8, 蓝色旗帜
Thaumcraft:blockWoodenDevice:8, 棕色旗帜
Thaumcraft:blockWoodenDevice:8, 绿色旗帜
Thaumcraft:blockWoodenDevice:8, 红色旗帜
Thaumcraft:blockWoodenDevice:8, 黑色旗帜
Thaumcraft:blockStoneDevice:0, 炼金炉
Thaumcraft:blockStoneDevice:1, 奥术基座
Thaumcraft:blockStoneDevice:2, 符文矩阵
Thaumcraft:blockStoneDevice:5, 法杖充能基座
Thaumcraft:blockStoneDevice:8, 复合充能核心
Thaumcraft:blockStoneDevice:9, 节点稳定器
Thaumcraft:blockStoneDevice:10, 高级节点稳定器
Thaumcraft:blockStoneDevice:11, 节点换能器
Thaumcraft:blockStoneDevice:12, 奥术浴场
Thaumcraft:blockStoneDevice:13, 核心镶饰台
Thaumcraft:blockStoneDevice:14, 咒波洗涤器
Thaumcraft:blockMirror:0, 魔镜
Thaumcraft:blockMirror:6, 源质之镜
Thaumcraft:blockTable:0, 台桌
Thaumcraft:blockTable:14, 解构工作台
Thaumcraft:blockTable:15, 奥术工作台
Thaumcraft:blockChestHungry, 饕餮箱子
Thaumcraft:blockArcaneDoor, 奥能之扉
Thaumcraft:blockLifter, 奥术悬浮台
Thaumcraft:blockMagicBox, 奥法之盒
minecraft:iron_shovel, 铁锹
minecraft:iron_pickaxe, 铁镐
minecraft:iron_axe, 铁斧
minecraft:flint_and_steel, 打火石
minecraft:apple, 苹果
minecraft:bow, 弓
minecraft:arrow, 箭
minecraft:coal:0, 煤炭
minecraft:coal:1, 木炭
minecraft:diamond, 钻石
minecraft:iron_ingot, 铁锭
minecraft:gold_ingot, 金锭
minecraft:iron_sword, 铁剑
minecraft:wooden_sword, 木剑
minecraft:wooden_shovel, 木锹
minecraft:wooden_pickaxe, 木镐
minecraft:wooden_axe, 木斧
minecraft:stone_sword, 石剑
minecraft:stone_shovel, 石锹
minecraft:stone_pickaxe, 石镐
minecraft:stone_axe, 石斧
minecraft:diamond_sword, 钻石剑
minecraft:diamond_shovel, 钻石锹
minecraft:diamond_pickaxe, 钻石镐
minecraft:diamond_axe, 钻石斧
minecraft:stick, 木棍
minecraft:bowl, 碗
minecraft:mushroom_stew, 蘑菇煲
minecraft:golden_sword, 金剑
minecraft:golden_shovel, 金锹
minecraft:golden_pickaxe, 金镐
minecraft:golden_axe, 金斧
minecraft:string, 线
minecraft:feather, 羽毛
minecraft:gunpowder, 火药
minecraft:wooden_hoe, 木锄
minecraft:stone_hoe, 石锄
minecraft:iron_hoe, 铁锄
minecraft:diamond_hoe, 钻石锄
minecraft:golden_hoe, 金锄
minecraft:wheat_seeds, 小麦种子
minecraft:wheat, 小麦
minecraft:bread, 面包
minecraft:leather_helmet, 皮革帽子
minecraft:leather_chestplate, 皮革外套
minecraft:leather_leggings, 皮革裤子
minecraft:leather_boots, 皮革靴子
minecraft:chainmail_helmet, 锁链头盔
minecraft:chainmail_chestplate, 锁链胸甲
minecraft:chainmail_leggings, 锁链护腿
minecraft:chainmail_boots, 锁链靴子
minecraft:iron_helmet, 铁头盔
minecraft:iron_chestplate, 铁胸甲
minecraft:iron_leggings, 铁护腿
minecraft:iron_boots, 铁靴子
minecraft:diamond_helmet, 钻石头盔
minecraft:diamond_chestplate, 钻石胸甲
minecraft:diamond_leggings, 钻石护腿
minecraft:diamond_boots, 钻石靴子
minecraft:golden_helmet, 金头盔
minecraft:golden_chestplate, 金胸甲
minecraft:golden_leggings, 金护腿
minecraft:golden_boots, 金靴子
minecraft:flint, 燧石
minecraft:porkchop, 生猪排
minecraft:cooked_porkchop, 熟猪排
minecraft:painting, 画
minecraft:golden_apple:0, 金苹果
minecraft:golden_apple:1, 金苹果
minecraft:sign, 告示牌
minecraft:wooden_door, 木门
minecraft:bucket, 桶
minecraft:water_bucket, 水桶
minecraft:lava_bucket, 岩浆桶
minecraft:minecart, 矿车
minecraft:saddle, 鞍
minecraft:iron_door, 铁门
minecraft:redstone, 红石
minecraft:snowball, 雪球
minecraft:boat, 船
minecraft:leather, 皮革
minecraft:milk_bucket, 牛奶
minecraft:brick, 红砖
minecraft:clay_ball, 粘土
minecraft:reeds, 甘蔗
minecraft:paper, 纸
minecraft:book, 书
minecraft:slime_ball, 粘液球
minecraft:chest_minecart, 运输矿车
minecraft:furnace_minecart, 动力矿车
minecraft:egg, 鸡蛋
minecraft:compass, 指南针
minecraft:fishing_rod, 钓鱼竿
minecraft:clock, 钟
minecraft:glowstone_dust, 萤石粉
minecraft:fish:0, 生鱼
minecraft:fish:1, 生鲑鱼
minecraft:fish:2, 小丑鱼
minecraft:fish:3, 河豚
minecraft:cooked_fished:0, 熟鱼
minecraft:cooked_fished:1, 熟鲑鱼
minecraft:dye:0, 墨囊
minecraft:dye:1, 玫瑰红
minecraft:dye:2, 仙人掌绿
minecraft:dye:3, 可可豆
minecraft:dye:4, 青金石
minecraft:dye:5, 紫色染料
minecraft:dye:6, 青色染料
minecraft:dye:7, 淡灰色染料
minecraft:dye:8, 灰色染料
minecraft:dye:9, 粉红色染料
